بازیچۂ اطفال
شمشیر سے
سے باہر
باہر ہے
ہے دم
دم شمشیر
شمشیر کا
آگہی دام
دام شنیدن
شنیدن جس
جس قدر
قدر چاہے
چاہے بچھائے
مدعا عنقا
عنقا ہے
ہے اپنے
اپنے عالم
عالم تقریر
تقریر کا
بسکہ ہوں
ہوں غالبؔ
غالبؔ اسیری
اسیری میں
میں بھی
بھی آتش
آتش زیر
زیر پا
موئے آتش
آتش دیدہ
دیدہ ہے
ہے حلقہ
حلقہ مری
مری زنجیر
زنجیر کا
آتشیں پا
پا ہوں
ہوں گداز
گداز وحشت
وحشت زنداں
زنداں نہ
نہ پوچھ
موئے آتش
آتش دیدہ
دیدہ ہے
ہے ہر
ہر حلقہ
حلقہ یاں
یاں زنجیر
زنجیر کا
شوخیٔ نیرنگ
نیرنگ صید
صید وحشت
وحشت طاؤس
طاؤس ہے
دام سبزہ
سبزہ میں
میں ہے
ہے پرواز
پرواز چمن
چمن تسخیر
تسخیر کا
لذت ایجاد
ایجاد ناز
ناز افسون
افسون عرض
عرض ذوق
ذوق قتل
نعل آتش
آتش میں
میں ہے
ہے تیغ
تیغ یار
یار سے
سے نخچیر
نخچیر کا
خشت پشت
پشت دست
دست عجز
عجز قالب
قالب آغوش
آغوش وداع
پر ہوا
ہوا ہے
ہے سیل
سیل سے
سے پیمانہ
پیمانہ کس
کس تعمیر
تعمیر کا
وحشت خواب
خواب عدم
عدم شور
شور تماشا
تماشا ہے
ہے اسدؔ
جو مزہ
مزہ جوہر
جوہر نہیں
نہیں آئینۂ
آئینۂ تعبیر
تعبیر کا
غالب کی
کی زمین
زمین میں
میں چند
چند اشعار
اشعار کہنے
کہنے کی
کی جسارت
'' درد
درد مِنت
مِنت کشِ
کشِ دوا
دوا نہ
نہ ہوا
میں نہ
نہ اچھا
اچھا ہوا
ہوا برا
برا نہ
نہ ہوا
'' غالب
میری کاوش
جس میں
میں اخلاص
اخلاص کا
کا مزا
مزا نہ
نہ ہوا
وہ تعلق
تعلق بھی
بھی دیر
دیر پا
پا نہ
نہ ہوا
وہ کبھی
کبھی دوست
دوست ہونہیں
ہونہیں سکتا
جو کبھی
کبھی تم
تم سے
سے گر
گر خفا
خفا نہ
نہ ہوا
شدتِ غم
غم سے
سے دل
دل رکا
رکا ایسے
پھردھڑکنےکاحوصلہ نہ
نہ ہوا
میرا قد
قد اور
اور ہو
ہو گیا
گیا اونچا
کھینچنے والوں
والوں سےگلا
سےگلا نہ
نہ ہوا
ڈھونڈتےہو اسے
اسے بتوں
بتوں میں
میں کیا
ہاتھ جو
جو آئے
آئے وہ
وہ خدا
خدا نہ
نہ ہوا
یوں تو
تو دنیا
دنیا میں
میں ہیں
ہیں بہت
بہت شاعر
تجھ سا
سا غالب
غالب غزل
غزل سرا
سرا نہ
نہ ہوا
ذلیل ہے
ہے ہٹ
ہٹ کر
کھڑا ہو
ہو سب
سب کے
کے سامنے
تو دین
دین پہ
پہ ڈٹ
ڈٹ کر
سلام اسے
اسے کہ
کہ اگر
اگر بادشا
بادشا کہیں
کہیں اُس
اُس کو
تو پھر
پھر کہیں
کہیں کہ
کہ کچھ
کچھ اِس
اِس سے
سے سوا
سوا کہیں
کہیں اُس
اُس کو
نہ بادشاہ
بادشاہ نہ
نہ سلطاں
سلطاں یہ
یہ کیا
کیا ستائش
ستائش ہے
کہو کہ
کہ خامسِ
خامسِ آلِ
آلِ عبا
عبا کہیں
کہیں اُس
اُس کو
خدا کی
کی راہ
راہ میں
میں شاہی
شاہی خسروی
خسروی کیسی
کہو کہ
کہ رہبرِ
رہبرِ راہِ
راہِ خدا
خدا کہیں
کہیں اُس
اُس کو
خدا کا
کا بندہ
بندہ خداوندگار
خداوندگار بندوں
بندوں کا
اگر کہیں
کہیں نہ
نہ خداوند
خداوند کیا
کیا کہیں
کہیں اُس
اُس کو
فروغِ جوہرِ
جوہرِ ایماں
ایماں حسین
حسین ابنِ
ابنِ علی
کہ شمعِ
شمعِ انجمنِ
انجمنِ کبریا
کبریا کہیں
کہیں اُس
اُس کو
کفیلِ بخششِ
بخششِ اُمّت
اُمّت ہے
ہے بن
بن نہیں
نہیں پڑتی
اگر نہ
نہ شافعِ
شافعِ روزِ
روزِ جزا
جزا کہیں
کہیں اُس
اُس کو
مسیح جس
جس سے
سے کرے
کرے اخذِ
اخذِ فیضِ
فیضِ جاں
جاں بخشی
ستم ہے
ہے کُشتۂ
کُشتۂ تیغِ
تیغِ جفا
جفا کہیں
کہیں اُس
اُس کو
وہ جس
جس کے
کے ماتمیوں
ماتمیوں پر
پر ہے
ہے سلسبیل
سلسبیل سبیل
شہیدِ تشنہ
تشنہ لبِ
لبِ کربلا
کربلا کہیں
کہیں اُس
اُس کو
عدو کے
کے سمعِ
سمعِ رضا
رضا میں
میں جگہ
جگہ نہ
نہ پاۓ
پاۓ وہ
وہ بات
کہ جنّ
جنّ انس
انس ملَک
ملَک سب
سب بجا
بجا کہیں
کہیں اُس
اُس کو
بہت ہے
ہے پایۂ
پایۂ گردِ
گردِ رہِ
رہِ حسین
حسین بلند
بہ قدرِ
قدرِ فہم
فہم ہے
ہے اگر
اگر کیمیا
کیمیا کہیں
کہیں اُس
اُس کو
نظارہ سوز
سوز ہے
ہے یاں
یاں تک
تک ہر
ہر ایک
ایک ذرّۂ
ذرّۂ خاک
کہ ایک
ایک جوہرِ
جوہرِ تیغِ
تیغِ قضا
قضا کہیں
کہیں اُس
اُس کو
ہمارے درد
درد کی
کی یا
یا رب
رب کہیں
کہیں دوا
دوا نہ
نہ ملے
اگر نہ
نہ درد
درد کی
کی اپنے
اپنے دوا
دوا کہیں
کہیں اُس
اُس کو
ہمارا منہ
منہ ہے
ہے کہ
کہ دَیں
دَیں اس
اس کے
کے حُسنِ
حُسنِ صبر
صبر کی
کی داد
مگر نبی
نبی علی
علی مرحبا
مرحبا کہیں
کہیں اُس
اُس کو
زمامِ ناقہ
ناقہ کف
کف اُس
اُس کے
کے میں
میں ہے
ہے کہ
کہ اہلِ
اہلِ یقیں
پس از
از حسینِ
حسینِ علی
علی پیشوا
پیشوا کہیں
کہیں اُس
اُس کو
وہ ریگِ
ریگِ تفتۂ
تفتۂ وادی
وادی پہ
پہ گام
گام فرسا
فرسا ہے
کہ طالبانِ
طالبانِ خدا
خدا رہنما
رہنما کہیں
کہیں اُس
اُس کو
امامِ وقت
وقت کی
کی یہ
یہ قدر
قدر ہے
ہے کہ
کہ اہلِ
اہلِ عناد
پیادہ لے
لے چلیں
چلیں اور
اور نا
نا سزا
سزا کہیں
کہیں اُس
اُس کو
یہ اجتہاد
اجتہاد عجب
عجب ہے
ہے کہ
کہ ایک
ایک دشمنِ
دشمنِ دیں
علی سے
سے کے
کے لڑے
لڑے اور
اور خطا
خطا کہیں
کہیں اُس
اُس کو
یزید کو
کو تو
تو نہ
نہ تھا
تھا اجتہاد
اجتہاد کا
کا پایہ
بُرا نہ
نہ مانیۓ
مانیۓ گر
گر ہم
ہم بُرا
بُرا کہیں
کہیں اُس
اُس کو
علی کے
کے بعد
بعد حسن
حسن اور
اور حسن
حسن کے
کے بعد
بعد حسین
کرے جو
جو ان
ان سے
سے بُرائی
بُرائی بھلا
بھلا کہیں
کہیں اُس
اُس کو
نبی کا
کا ہو
ہو نہ
نہ جسے
جسے اعتقاد
اعتقاد کافر
کافر ہے
رکھے امام
امام سے
سے جو
جو بغض
بغض کیا
کیا کہیں
کہیں اُس
اُس کو
بھرا ہے
ہے غالبِ
غالبِ دل
دل خستہ
خستہ کے
کے کلام
کلام میں
میں درد
غلط نہیں
نہیں ہے
ہے کہ
کہ خونیں
خونیں نوا
نوا کہیں
کہیں اُس
اُس کو
مدّت ہوئی
ہوئی ہے
ہے یار
یار کو
کو مہماں
مہماں کئے
کئے ہوئے
جوشِ قدح
قدح سے
سے بزمِ
بزمِ چراغاں
چراغاں کئے
کئے ہوئے
کرتا ہوں
ہوں جمع
جمع پهر
پهر جگر
جگر لخت
لخت لخت
لخت کو
عرصہ ہوا
ہوا ہے
ہے دعوتِ
دعوتِ مژگاں
مژگاں کئے
کئے ہوئے
پهر وضعِ
وضعِ احتیاط
احتیاط سے
سے رُکنے
رُکنے لگا
لگا ہے
ہے دم
برسوں ہوئے
ہوئے ہیں
ہیں چاکِ
چاکِ گریباں
گریباں کئے
کئے ہوئے
پهر گرمِ
گرمِ نالہ
نالہ ہائے
ہائے شرر
شرر بار
بار ہے
ہے نفس
مدّت ہوئی
ہوئی ہے
ہے سیر
سیر چراغاں
چراغاں کئے
کئے ہوئے
پھر پرسشِ
پرسشِ جراحتِ
جراحتِ دل
دل کو
کو چلا
چلا ہے
ہے عشق
سامانِ صد
صد ہزار
ہزار نمک
نمک داں
داں کئے
کئے ہوۓ
پهر بهر
بهر رہا
رہا ہے
ہے خامہ
خامہ مژگاں
مژگاں بہ
بہ خونِ
خونِ دل
سازِ چمن
چمن طرازیِ
طرازیِ دَاماں
دَاماں کئے
کئے ہوئے
باہم دِکر
دِکر ہوئے
ہوئے ہیں
ہیں دل
دل دیده
دیده پهر
پهر رقیب
نظّاره خیال
خیال کا
کا سَاماں
سَاماں کئے
کئے ہوئے
دِل پهر
پهر طوافِ
طوافِ کوۓ
کوۓ ملامت
ملامت کو
کو جائے
جائے ہے
پندار کا
کا صنم
صنم کده
کده ویراں
ویراں کئے
کئے ہوئے
پهر شوق
شوق کر
کر رہا
رہا ہے
ہے خریدار
خریدار کی
کی طلب
عرضِ متاعِ
متاعِ عقل
عقل دل
دل جاں
جاں کئے
کئے ہوے
دوڑے ہے
ہے پهر
پهر ہر
ہر ایک
ایک گُل
گُل لالہ
لالہ پر
پر خیال
صد گلستاں
گلستاں نِگاه
نِگاه کا
کا ساماں
ساماں کئے
کئے ہوے
پهر چاہتا
چاہتا ہوں
ہوں نامہ
نامہ دلدار
دلدار کهولنا
جاں نزرِ
نزرِ دل
دل فریبی
فریبی عنواں
عنواں کئے
کئے ہوے
مانگے ہے
ہے پهر
پهر کسی
کسی کو
کو لبِ
لبِ بام
بام پر
پر ہوس
زلفِ سیاہ
سیاہ رُخ
رُخ پہ
پہ پریشاں
پریشاں کئے
کئے ہوے
چاہے ہے
ہے پهر
پهر کسی
کسی کو
کو مقابل
مقابل میں
میں آرزو
سرمہ سے
سے تیز
تیز دشنہ
دشنہ مژگاں
مژگاں کئے
کئے ہوے
اک نو
نو بہارِ
بہارِ ناز
ناز کو
کو تا
تا کے
کے ہے
ہے پهر
پهر نِگاہ
چہرہ فروغِ
فروغِ مے
مے سے
سے گُلستاں
گُلستاں کئے
کئے ہوئے
پهر جی
جی میں
میں ہے
ہے کہ
کہ در
در پہ
پہ کسی
کسی کے
کے پڑے
پڑے رہیں
سر زیر
زیر بارِ
بارِ منّتِ
منّتِ درباں
درباں کئے
کئے ہوئے
جی ڈهونڈتا
ڈهونڈتا ہے
ہے پهر
پهر وہی
وہی فرصت
فرصت کے
کے رات
رات دن
بیٹهے ہیں
ہیں تصّورِ
تصّورِ جاناں
جاناں کئے
کئے ہوئے
غالب ہمیں
ہمیں نا
نا چهیڑ
چهیڑ کہ
کہ پهر
پهر جوشِ
جوشِ اشک
اشک سے
بیٹهے ہیں
ہیں ہم
ہم تہیّہ
تہیّہ طوفاں
طوفاں کئے
کئے ہوئے
مزہ ملے
ملے کہو
کہو کیا
کیا خاک
خاک ساتھ
ساتھ سونے
سونے کا
رکھے جو
جو بیچ
بیچ میں
میں وہ
وہ شوخ
شوخ سیم
سیم تن
تن تکیہ
شب ِ
ِ فراق
فراق میں
میں یہ
یہ حال
حال ہے
ہے اذیت
اذیت کا
کہ سانپ
سانپ فرش
فرش ہے
ہے اور
اور سانپ
سانپ کا
کا ہے
ہے من
من تکیہ
مقدور ہو
ہو تو
تو خاک
خاک سے
سے پوچھوں
پوچھوں کہ
کہ اے
اے لئیم
تو نے
نے وہ
وہ گنج‌ہاۓ
گنج‌ہاۓ گراں
گراں مایہ
مایہ کیا
کیا کیے
قدر جو
جو جانی
جانی نہیں
نہیں تو
تو روٹھ
روٹھ گئے
گئے وہ
اتنے ہی
ہی عزیز
عزیز تھے
تھے تو
تو دفن
دفن کیا
کیا کیوں
انکار میں
میں وہ
وہ لذت
لذت اقرار
اقرار میں
میں کہاں
کہاں ہے
بڑھتا ہے
ہے شوق
شوق غالب
غالب تیرے
تیرے نہیں
نہیں نہیں
نہیں میں
اگ رہا
رہا ہے
ہے درو
درو دیوار
دیوار سے
سے سبزہ
سبزہ غالب
ہم بیاباں
بیاباں میں
میں ہیں
ہیں اور
اور گھر
گھر میں
میں بہار
بہار آئی
آئی ہے
زندگی اپنی
اپنی جب
جب اس
اس شکل
شکل سے
سے گزری
گزری غالب
ہم بھی
بھی کیا
کیا یاد
یاد کریں
کریں گے
گے کہ
کہ خدا
خدا رکھتے
رکھتے تھے
شب کہ
کہ برقِ
برقِ سوزِ
سوزِ دل
دل سے
سے زہرہٴ
زہرہٴ ابر
ابر آب
آب تھا
شعلہٴ جوّالہ
جوّالہ ہر
ہر اک
اک حلقہٴ
حلقہٴ گرداب
گرداب تھا
واں کرم
کرم کو
کو عذرِ
عذرِ بارش
بارش تھا
تھا عناں
عناں گیرِ
گیرِ خرام
گریے سے
سے یاں
یاں پنبہٴ
پنبہٴ بالش
بالش کف
کف سیلاب
سیلاب تھا
واں خود
خود آرائی
آرائی کو
کو تھا
تھا موتی
موتی پرونے
پرونے کا
کا خیال
یاں ہجومِ
ہجومِ اشک
اشک میں
میں تارِ
تارِ نگہ
نگہ نایاب
نایاب تھا
جلوہٴ گل
گل نے
نے کیا
کیا تھا
تھا واں
واں چراغاں
چراغاں آبجو
یاں رواں
رواں مژگانِ
مژگانِ چشمِ
چشمِ تر
تر سے
سے خونِ
خونِ ناب
ناب تھا
یاں سرِ
سرِ پرشور
پرشور بیخوابی
بیخوابی سے
سے تھا
تھا دیوار
دیوار جو
واں وہ
وہ فرقِ
فرقِ ناز
ناز محوِ
محوِ بالشِ
بالشِ کمخواب
کمخواب تھا
یاں نفس
نفس کرتا
کرتا تھا
تھا روشن
روشن شمعِ
شمعِ بزمِ
بزمِ بیخودی
جلوہٴ گل
گل واں
واں بساطِ
بساطِ صحبتِ
صحبتِ احباب
احباب تھا
فرش سے
سے تا
تا عرش
عرش واں
واں طوفاں
طوفاں تھا
تھا موجِ
موجِ رنگ
رنگ کا
یاں زمیں
زمیں سے
سے آسماں
آسماں تک
تک سوختن
سوختن کا
کا باب
باب تھا
ناگہاں اس
اس رنگ
رنگ سے
سے خوننابہ
خوننابہ ٹپکانے
ٹپکانے لگا
دل کہ
کہ ذوقِ
ذوقِ کاوشِ
کاوشِ ناخن
ناخن سے
سے لذت
لذت یاب
یاب تھا
یہ ہم
ہم جو
جو ہجر
ہجر میں
میں دیوار
دیوار در
در کو
کو دیکھتے
دیکھتے ہیں
کبھی صبا
صبا کو
کو کبھی
کبھی نامہ
نامہ بر
بر کو
کو دیکھتے
دیکھتے ہیں
وہ آئیں
آئیں گھر
گھر میں
میں ہمارے
ہمارے خدا
خدا کی
کی قدرت
قدرت ہے
کبھی ہم
ہم ان
ان کو
کو کبھی
کبھی اپنے
اپنے گھر
گھر کو
کو دیکھتے
دیکھتے ہیں
نظر لگے
لگے نہ
نہ کہیں
کہیں اُس
اُس کے
کے دست
دست بازو
بازو کو
یہ لوگ
لوگ کیوں
کیوں مرے
مرے زخمِ
زخمِ جگر
جگر کو
کو دیکھتے
دیکھتے ہیں
ترے جواہرِ
جواہرِ طرفِ
طرفِ کُلہ
کُلہ کو
کو کیا
کیا دیکھیں
ہم اوجِ
اوجِ طالعِ
طالعِ لعل
لعل گہر
گہر کو
کو دیکھتے
دیکھتے ہی
صحرا کو
کو بڑا
بڑا عالم
عالم ھے
ھے اپنی
اپنی تنہائی
تنہائی پر
پر غالب
اس نے
نے دیکھا
دیکھا نہں
نہں عالم
عالم میری
میری تنہائی
تنہائی کا
دیکھتا ہوں
ہوں اُسے
اُسے تھی
تھی جس
جس کی
کی تمنا
تمنا مجھ
مجھ کو
آج بیداری
بیداری میں
میں ہے
ہے خواب
خواب ذلیخا
ذلیخا کامجھے
کامجھے پھر
عشق نے
نے نکما
نکما بنا
بنا دیا
دیا غالب
غالب ورنہ
ہم بھی
بھی بھڑے
بھڑے کام
کام کے
کے آدمی
آدمی تھے
گرمی سہی
سہی کلام
کلام میں
میں مگر
مگر نا
نا اتنی
اتنی سہی
کی جس
جس سے
سے بات
بات اسنے
اسنے شکایت
شکایت ضرور
ضرور کی
قید حیات
حیات بند
بند غم
غم اصل
اصل میں
میں دونوں
دونوں ایک
ایک ہیں
موت سے
سے پہلے
پہلے آدمی
آدمی غم
غم سے
سے نجات
نجات پائے
پائے کیوں
بلبل کے
کے کاروبار
کاروبار پھ
پھ ھیں
ھیں خندہ
خندہ ھائے
ھائے گل
کھتے ھیں
ھیں جس
جس کو
کو عشق
عشق خلل
خلل ہے
ہے دماغ
دماغ کا
عشق سے
سے طبعیت
طبعیت نے
نے زیست
زیست کامزہ
کامزہ پایا
درد کی
کی دوا
دوا پائی
پائی درد
درد بے
بے دوا
دوا پایا
بڑی عجیب
عجیب ھے
ھے نادان
نادان دل
دل کی
کی خواھش
خواھش یا
یا رب
عمل کچھ
کچھ نھیں
نھیں اور
اور دل
دل طلب
طلب گار
گار ھے
ھے جنت
جنت کا
ہمیں خریرِ
خریرِ شرر
شرر بافِ
بافِ سنگ
سنگ خلعت
خلعت ہے
یہ ایک
ایک پیر
پیر ہنِ
ہنِ زر
زر نگار
نگار رکھتے
رکھتے ہیں
جنونِ فرقتِ
فرقتِ یارانِ
یارانِ رفتہ
رفتہ ہے
ہے غالب
بسانِ دشتِ
دشتِ دلِ
دلِ پُر
پُر غبار
غبار رکھتے
رکھتے ہیں
تو پست
پست فطرت
فطرت اور
اور خیالِ
خیالِ بسا
بسا بلند
اے طفلِ
طفلِ خود
خود معاملہ
معاملہ قد
قد سے
سے عصا
عصا بلند
موقوف کیجئے
کیجئے یہ
یہ تکلف
تکلف نگاریاں
ہوتا ہے
ہے ورنہ
ورنہ شعلۂ
شعلۂ رنگِ
رنگِ حنا
حنا بلند
مدعی میری
میری صفائے
صفائے دل
دل سے
سے ہوتا
ہوتا ہے
ہے خجل
ہے تماشا
تماشا زشت
زشت رویوں
رویوں کا
کا عتاب
عتاب آئینے
آئینے پر
دل کو
کو توڑا
توڑا جوشِ
جوشِ بے
بے تابی
تابی سے
سے غالب
غالب کیا
کیا کیا
رکھ دیا
دیا پہلو
پہلو بہ
بہ وقت
وقت اضطراب
اضطراب آئینے
آئینے پر
کس کو
کو دوں
دوں یا
یا رب
رب حسابِ
حسابِ سوز
سوز ناکیہائے
ناکیہائے دل
آمدورفتِ نفس
نفس جز
جز شعلہ
شعلہ پیمائی
پیمائی نہیں
ہے طلسم
طلسم دہر
دہر میں
میں صد
صد حشر
حشر پاداشِ
پاداشِ عمل
آگہی غافل
غافل کہ
کہ ایک
ایک امروزِ
امروزِ بے
بے فردا
فردا نہیں
رنجش دل
دل یک
یک جہاں
جہاں ویراں
ویراں کرے
کرے گی
گی اے
اے فلک
دشت ساماں
ساماں ہے
ہے غبارِ
غبارِ خاطرِ
خاطرِ آزردگاں
فلکِ سفلہ
سفلہ بے
بے محابا
محابا ہے
اس ستمگر
ستمگر کو
کو انفعال
انفعال کہاں
پیٹھ محراب
محراب کی
کی قبلے
قبلے کی
کی طرف
طرف رہتی
رہتی ہے
محوِ نسبت
نسبت ہیں
ہیں تکلف
تکلف ہمیں
ہمیں منظور
منظور نہیں
وہ دل
دل جوں
جوں شمعِ
شمعِ بہرِ
بہرِ دعوت
دعوت نظارہ
نظارہ لا
لا جس
جس سے
نگہ لب
لب ریزِ
ریزِ اشک
اشک سینہ
سینہ معمورِ
معمورِ تمنا
تمنا ہو
ستم کشی
کشی کا
کا کیا
کیا دل
دل نے
نے حوصلہ
حوصلہ پیدا
اب اس
اس سے
سے ربط
ربط کروں
کروں جو
جو بہت
بہت ستمگر
ستمگر ہو
فریبِ صنعتِ
صنعتِ ایجاد
ایجاد کا
کا تماشا
تماشا دیکھ
نگاہ عکس
عکس فروش
فروش خیال
خیال آئینہ
آئینہ ساز
ہنوز اے
اے اثرِ
اثرِ دید
دید ننگِ
ننگِ رسوائی
نگاہِ فتنہ
فتنہ خرام
خرام درِ
درِ دو
دو عالم
عالم باز
ہجومِ فکر
فکر سے
سے دل
دل مثلِ
مثلِ موج
موج لرزاں
لرزاں ہے
کہ شیشہ
شیشہ نازک
نازک صہبا
صہبا ہے
ہے آبگینہ
آبگینہ گداز
کفر ہے
ہے غیر
غیر از
از وفورِ
وفورِ شوق
شوق رہبر
رہبر ڈھونڈھنا
راہِ صحرائے
صحرائے حرم
حرم میں
میں ہے
ہے جرس
جرس ناقوس
ناقوس بس
یک جہاں
جہاں گل
گل تختۂ
تختۂ مشقِ
مشقِ شگفتن
شگفتن ہے
ہے اسد
غنچۂ خاطر
خاطر رہا
رہا افسردگی
افسردگی مانوس
مانوس بس
ہم زانوئے
زانوئے تامل
تامل ہم
ہم جلو
جلو گاہِ
گاہِ گل
آئینہ بندِ
بندِ خلوت
خلوت محفل
محفل ہے
ہے آئینہ
کون آیا
آیا جو
جو چمن
چمن بے
بے تابِ
تابِ استقبال
استقبال ہے
جنبشِ موجِ
موجِ صبا
صبا ہے
ہے شوخیِ
شوخیِ رفتارِ
رفتارِ باغ
آتشِ رنگ
رنگ رخِ
رخِ ہر
ہر گل
گل کو
کو بخشے
بخشے ہے
ہے فروغ
ہے دل
دل سردِ
سردِ صبا
صبا سے
سے گرمیِ
گرمیِ بازارِ
بازارِ باغ
خواہشِ دل
دل ہے
ہے زباں
زباں کو
کو سببِ
سببِ گفت
گفت بیاں
ہے سخن
سخن گرد
گرد ز
ز دَامانِ
دَامانِ ضمیر
ضمیر افشاندہ
کوئی آگاہ
آگاہ نہیں
نہیں باطنِ
باطنِ ہم
ہم دیگر
دیگر سے
ہے ہر
ہر اک
اک فرد
فرد جہاں
جہاں میں
میں ورقِ
ورقِ ناخواندہ
کیا پوچھے
پوچھے ہے
ہے بر
بر خود
خود غلطیہائے
غلطیہائے عزیزاں
خواری کو
کو بھی
بھی اک
اک عار
عار ہے
ہے عالی
عالی نسبوں
نسبوں سے
گو تم
تم کو
کو رضا
رضا جوئیِ
جوئیِ اغیار
اغیار ہے
ہے لیکن
جاتی ہے
ہے ملاقات
ملاقات کب
کب ایسے
ایسے سببوں
سببوں سے
مت پوچھ
پوچھ اسد
اسد غصۂ
غصۂ کم
کم فرصتیِ
فرصتیِ زیست
دو دن
دن بھی
بھی جو
جو کاٹے
کاٹے قیامت
قیامت تَعبوں
تَعبوں سے
اے آرزو
آرزو شہیدِ
شہیدِ وفا
وفا خوں
خوں بہا
بہا نہ
نہ مانگ
جز بہرِ
بہرِ دست
دست بازوئے
بازوئے قاتل
قاتل دعا
دعا نہ
نہ مانگ
برہم ہے
ہے بزمِ
بزمِ غنچہ
غنچہ بہ
بہ یک
یک جنبشِ
جنبشِ نشاط
کاشانہ بس
بس کی
کی تنگ
تنگ ہے
ہے غافل
غافل ہوا
ہوا نہ
نہ مانگ
مشق از
از خود
خود رفتگی
رفتگی سے
سے ہیں
ہیں بہ
بہ گلزارِ
گلزارِ خیال
آشنا تعبیرِ
تعبیرِ خوابِ
خوابِ سبزۂ
سبزۂ بیگانہ
بیگانہ ہم
وحشتِ بے
بے ربطیِ
ربطیِ پیچ
پیچ خمِ
خمِ ہستی
ہستی نہ
نہ پوچھ
ننگ بالیدن
بالیدن ہیں
ہیں جوں
جوں موئے
موئے سرِ
سرِ دیوانہ
دیوانہ ہم
بے چشمِ
چشمِ دل
دل نہ
نہ کر
کر ہوسِ
ہوسِ سیرِ
سیرِ لالہ
لالہ زار
یعنی یہ
یہ ہر
ہر ورق
ورق ورقِ
ورقِ انتخاب
انتخاب ہے
اسد اٹھنا
اٹھنا قیامت
قیامت قامتوں
قامتوں کا
کا وقتِ
وقتِ آرایش
لباسِ نظم
نظم میں
میں بالیدنِ
بالیدنِ مضمونِ
مضمونِ عالی
عالی ہے
ہستی فریب
فریب نامۂ
نامۂ موجِ
موجِ سراب
سراب ہے
یک عمر
عمر نازِ
نازِ شوخیِ
شوخیِ عنواں
عنواں اٹھایئے
گر مصیبت
مصیبت تھی
تھی تو
تو غربت
غربت میں
میں اٹھا
اٹھا لیتا
لیتا اسد
میری دلی
دلی ہی
ہی میں
میں ہونی
ہونی تھی
تھی یہ
یہ خواری
خواری ہائے
ہائے ہائے
اسد بندِ
بندِ قباے
قباے یار
یار ہے
ہے فردوس
فردوس کا
کا غنچہ
اگر وا
وا ہو
ہو تو
تو دکھلا
دکھلا دوں
دوں کہ
کہ یک
یک عالم
عالم گلستاں
گلستاں ہے
ہم مشقِ
مشقِ فکر
فکر وصل
وصل غم
غم ہجر
ہجر سے
سے اسد
لائق نہیں
نہیں رہے
رہے ہیں
ہیں غَمِ
غَمِ روزگار
روزگار کے
میر کے
کے شعر
شعر کا
کا احوال
احوال کہوں
کہوں کیا
کیا غالب
جس کا
کا دیوان
دیوان کم
کم از
از گلشنِ
گلشنِ کشمیر
کشمیر نہیں
وقت ہے
ہے گر
گر بلبلِ
بلبلِ مسکیں
مسکیں زلیخائی
زلیخائی کرے
یوسفِ گل
گل جلوہ
جلوہ فرما
فرما ہے
ہے بہ
بہ بازارِ
بازارِ چمن
تا چند
چند پست
پست فطرتیِ
فطرتیِ طبعِ
طبعِ آرزو
یارب ملے
ملے بلندیِ
بلندیِ دستِ
دستِ دعا
دعا مجھے
یک بار
بار امتحانِ
امتحانِ ہوس
ہوس بھی
بھی ضرور
ضرور ہے
اے جوشِ
جوشِ عشق
عشق بادۂ
بادۂ مرد
مرد آزما
آزما مجھے
شوخیِ اظہار
اظہار غیر
غیر از
از وحشتِ
وحشتِ مجنوں
مجنوں نہیں
لیلیِ معنی
معنی اسد
اسد محمل
محمل نشینِ
نشینِ راز
راز ہے
آتش افروزیِ
افروزیِ یک
یک شعلۂ
شعلۂ ایما
ایما تجھ
تجھ سے
چشمک آرائیِ
آرائیِ صد
صد شہرِ
شہرِ چراغاں
چراغاں مجھ
مجھ سے
اے سرِ
سرِ شوریدہ
شوریدہ ذوقِ
ذوقِ عشق
عشق پاسِ
پاسِ آبرو
جوشِ سودا
سودا کب
کب حریفِ
حریفِ منتِ
منتِ دستار
دستار ہے
یا رب
رب ہمیں
ہمیں تو
تو خواب
خواب میں
میں بھی
بھی مت
مت دکھائیو
یہ محشرِ
محشرِ خیال
خیال کہ
کہ دنیا
دنیا کہیں
کہیں جسے
اسد بہار
بہار تماشائے
تماشائے گلستانِ
گلستانِ حیات
وصالِ لالہ
لالہ عذارانِ
عذارانِ سر
سر قامت
قامت ہے
ہوں گرمیِ
گرمیِ نشاطِ
نشاطِ تصور
تصور سے
سے نغمہ
نغمہ سنج
میں عندلیبِ
عندلیبِ گلشنِ
گلشنِ نا
نا آفریدہ
آفریدہ ہوں
میں چشم
چشم اکشادہ
اکشادہ گلشن
گلشن نظر
نظر فریب
لیکن عبث
عبث کہ
کہ شبنمِ
شبنمِ خرشید
خرشید دیدہ
دیدہ ہوں
پیدا نہیں
نہیں ہے
ہے اصلِ
اصلِ تگ
تگ تازِ
تازِ جستجو
مانندِ موجِ
موجِ آب
آب زبانِ
زبانِ بریدہ
بریدہ ہوں
سر پر
پر مرے
مرے وبالِ
وبالِ ہزار
ہزار آرزو
آرزو رہا
یارب میں
میں کس
کس غریب
غریب کا
کا بختِ
بختِ رمیدہ
رمیدہ ہوں
نگہہ معمارِ
معمارِ حسرت
حسرت ہا
ہا چہ
چہ آبادی
آبادی چہ
چہ ویرانی
کہ مژگاں
مژگاں جس
جس طرف
